week,is_regular,team_id,team_name,points,opp_team_id,opp_team_name,is_bye,outcome
13,True,10,LaPorta Potty,150.56,11,ConcreteJungleWet DreamTomato,False,W
13,True,11,ConcreteJungleWet DreamTomato,98.32,10,LaPorta Potty,False,L
13,True,12,Rule  #76,160.9,13,Christopher's Kryptonite ,False,W
13,True,13,Christopher's Kryptonite ,129.64,12,Rule  #76,False,L
14,True,1,Too Much Bama In Me ,151.54,13,Christopher's Kryptonite ,False,W
14,True,2,Pour One Out For Mahomies!!,107.18,5,Jones in for a Repeat,False,L
14,True,3,Jim Ward's Ole Dick Necks,130.72,9,Men of Will,False,L
14,True,4,Injured Reserve ,51.3,8,SCLSU Mud Dogs,False,L
14,True,5,Jones in for a Repeat,140.38,2,Pour One Out For Mahomies!!,False,W
14,True,6,Thom-ASS,106.1,11,ConcreteJungleWet DreamTomato,False,L
14,True,8,SCLSU Mud Dogs,97.02,4,Injured Reserve ,False,W
14,True,9,Men of Will,138.12,3,Jim Ward's Ole Dick Necks,False,W
14,True,10,LaPorta Potty,115.22,12,Rule  #76,False,L
14,True,11,ConcreteJungleWet DreamTomato,143.32,6,Thom-ASS,False,W
14,True,12,Rule  #76,116.66,10,LaPorta Potty,False,W
14,True,13,Christopher's Kryptonite ,143.8,1,Too Much Bama In Me ,False,L
15,False,1,Too Much Bama In Me ,118.34,3,Jim Ward's Ole Dick Necks,False,W
15,False,2,Pour One Out For Mahomies!!,102.18,12,Rule  #76,False,L
15,False,3,Jim Ward's Ole Dick Necks,74.96,1,Too Much Bama In Me ,False,L
15,False,4,Injured Reserve ,96.82,9,Men of Will,False,L
15,False,5,Jones in for a Repeat,100.44,13,Christopher's Kryptonite ,False,L
15,False,6,Thom-ASS,92.78,11,ConcreteJungleWet DreamTomato,False,L
15,False,8,SCLSU Mud Dogs,141.14,10,LaPorta Potty,False,W
15,False,9,Men of Will,102.5,4,Injured Reserve ,False,W
15,False,10,LaPorta Potty,126.76,8,SCLSU Mud Dogs,False,L
15,False,11,ConcreteJungleWet DreamTomato,169.1,6,Thom-ASS,False,W
15,False,12,Rule  #76,119.46,2,Pour One Out For Mahomies!!,False,W
15,False,13,Christopher's Kryptonite ,144.06,5,Jones in for a Repeat,False,W
16,False,1,Too Much Bama In Me ,92.8,11,ConcreteJungleWet DreamTomato,False,L
16,False,2,Pour One Out For Mahomies!!,59.36,4,Injured Reserve ,False,L
16,False,3,Jim Ward's Ole Dick Necks,90.76,10,LaPorta Potty,False,L
16,False,4,Injured Reserve ,93.42,2,Pour One Out For Mahomies!!,False,W
16,False,5,Jones in for a Repeat,137.54,6,Thom-ASS,False,L
16,False,6,Thom-ASS,159.32,5,Jones in for a Repeat,False,W
16,False,8,SCLSU Mud Dogs,161.62,13,Christopher's Kryptonite ,False,W
16,False,9,Men of Will,107.88,12,Rule  #76,False,L
16,False,10,LaPorta Potty,185.14,3,Jim Ward's Ole Dick Necks,False,W
16,False,11,ConcreteJungleWet DreamTomato,98.14,1,Too Much Bama In Me ,False,W
16,False,12,Rule  #76,111.38,9,Men of Will,False,W
16,False,13,Christopher's Kryptonite ,120.34,8,SCLSU Mud Dogs,False,L
17,False,1,Too Much Bama In Me ,137.02,13,Christopher's Kryptonite ,False,W
17,False,2,Pour One Out For Mahomies!!,96.18,9,Men of Will,False,L
17,False,3,Jim Ward's Ole Dick Necks,64.0,5,Jones in for a Repeat,False,L
17,False,4,Injured Reserve ,90.26,12,Rule  #76,False,L
17,False,5,Jones in for a Repeat,87.18,3,Jim Ward's Ole Dick Necks,False,W
17,False,6,Thom-ASS,103.68,10,LaPorta Potty,False,L
17,False,8,SCLSU Mud Dogs,153.48,11,ConcreteJungleWet DreamTomato,False,W
17,False,9,Men of Will,131.82,2,Pour One Out For Mahomies!!,False,W
17,False,10,LaPorta Potty,142.32,6,Thom-ASS,False,W
17,False,11,ConcreteJungleWet DreamTomato,130.16,8,SCLSU Mud Dogs,False,L
17,False,12,Rule  #76,126.44,4,Injured Reserve ,False,W
17,False,13,Christopher's Kryptonite ,94.6,1,Too Much Bama In Me ,False,L
