"Player","Team","REC","YDS","TDS","ATT","YDS","TDS","FL","FPTS"
"Jauan Jennings","MIN","48.7","557.0","5.2","0.0","0.0","0.0","0.7","85.2"
"Jalen Nailor","LV","42.0","566.9","4.4","2.0","8.5","0.0","0.2","83.8"
"Antonio Williams","WAS","44.4","600.1","3.6","3.5","18.7","0.1","1.2","81.7"
"Tank Dell","HOU","43.1","545.8","3.4","10.2","48.8","0.1","0.1","79.9"
"Cooper Kupp","SEA","47.4","583.8","3.4","0.5","1.5","0.0","0.7","77.7"
"Denzel Boston","CLE","48.8","612.0","2.9","1.0","5.0","0.0","0.8","77.4"
"Adonai Mitchell","NYJ","38.5","563.9","3.3","2.2","11.2","0.1","0.5","76.9"
"Omar Cooper Jr.","NYJ","46.3","550.3","3.3","2.1","12.5","0.1","1.2","74.1"
"Germie Bernard","PIT","44.6","550.8","3.1","2.1","10.8","0.0","0.8","73.5"
"Darnell Mooney","NYG","36.5","534.8","2.8","1.1","6.0","0.0","0.1","70.6"
"Kayshon Boutte","NE","30.3","462.5","4.0","0.0","0.0","0.0","0.1","70.3"
"Travis Hunter","JAC","41.6","496.2","3.3","2.0","10.8","0.1","0.4","70.0"
"Bub Means","NO","38.0","516.0","3.0","1.0","7.0","0.0","1.0","68.3"
"Tyquan Thornton","KC","25.4","465.9","3.5","0.0","0.0","0.0","0.1","67.2"
"Darius Slayton","NYG","35.4","521.0","2.5","1.6","8.6","0.0","0.7","66.8"
"Ja'Kobi Lane","BAL","30.4","459.2","3.4","1.5","8.5","0.0","0.6","66.1"
"Christian Kirk","SF","39.5","476.0","3.0","0.0","0.0","0.0","0.1","65.7"
"Tory Horton","SEA","30.3","400.9","4.2","0.5","3.0","0.0","0.6","64.1"
"Malik Washington","MIA","43.5","390.0","2.3","13.4","80.2","0.7","0.8","63.5"
"Jaylin Noel","HOU","39.5","452.3","2.5","4.2","22.2","0.1","0.4","62.3"
"Nick Westbrook-Ikhine","IND","34.3","432.7","3.0","0.0","0.0","0.0","0.3","60.9"
"Troy Franklin","DEN","36.5","395.9","3.4","3.0","10.8","0.0","0.6","60.1"
"Isaac TeSlaa","DET","25.4","351.8","4.1","0.0","0.0","0.0","0.1","59.6"
"Devaughn Vele","NO","35.1","422.8","2.8","0.0","0.0","0.0","0.1","59.1"
"De'Zhaun Stribling","SF","32.3","440.4","2.5","1.5","6.5","0.0","0.6","58.4"
"Hollywood Brown","PHI","31.3","389.5","3.3","0.0","0.0","0.0","0.1","58.3"
"Andrei Iosivas","CIN","31.1","393.6","2.9","2.5","11.1","0.0","0.1","57.8"
"Ryan Flournoy","DAL","34.0","384.5","2.7","2.2","12.4","0.1","0.4","55.5"
"Dyami Brown","WAS","29.9","394.6","2.7","0.0","0.0","0.0","0.3","55.0"
"Tre' Harris","LAC","34.5","407.8","2.5","0.0","0.0","0.0","0.4","54.8"
"Caleb Douglas","MIA","33.1","419.0","2.3","1.0","5.5","0.0","0.7","54.7"
"Chris Bell","MIA","34.2","448.9","1.7","0.0","0.0","0.0","0.4","54.1"
"Jalen Tolbert","MIA","35.4","441.7","1.8","0.0","0.0","0.0","0.3","54.1"
"Ted Hurst III","TB","28.9","389.3","2.6","1.0","6.5","0.0","0.6","53.7"
"Jack Bech","LV","38.0","440.8","1.6","0.0","0.0","0.0","0.4","53.1"
"Jahan Dotson","ATL","31.9","401.0","2.0","0.0","0.0","0.0","0.2","51.9"
"Ashton Dulin","IND","22.5","378.4","1.5","5.1","46.2","0.1","0.1","51.6"
"Elic Ayomanor","TEN","23.9","323.0","3.2","0.0","0.0","0.0","0.0","51.5"
"Dontayvion Wicks","PHI","31.1","354.9","2.4","0.5","3.0","0.0","0.1","49.9"
"Zachariah Branch","ATL","31.4","382.1","1.9","0.0","0.0","0.0","0.3","48.9"
"Chimere Dike","TEN","26.1","252.9","3.3","10.1","33.6","0.3","0.6","48.7"
"Van Jefferson","WAS","28.0","357.7","1.9","0.0","0.0","0.0","0.2","47.0"
"KaVontae Turpin","DAL","18.2","230.3","1.7","17.7","102.5","0.4","0.4","45.4"
"Savion Williams","GB","23.9","272.0","2.0","9.0","47.0","0.3","0.3","45.1"
"Xavier Legette","CAR","26.6","308.1","2.1","2.1","10.8","0.1","0.3","44.1"
"Pat Bryant","DEN","28.4","319.7","2.1","0.0","0.0","0.0","0.3","44.0"
"Xavier Hutchinson","HOU","24.8","300.8","2.0","2.1","14.2","0.0","0.1","43.4"
"Joshua Palmer","BUF","25.9","337.3","1.6","0.0","0.0","0.0","0.1","43.3"
"Marvin Mims Jr.","DEN","24.2","272.5","1.6","8.2","45.0","0.3","0.4","42.5"
"Olamide Zaccheaus","ATL","31.9","295.6","1.9","1.5","9.5","0.0","0.1","41.7"
"Calvin Austin III","NYG","20.5","273.7","2.2","0.0","0.0","0.0","0.0","40.8"
"Cedric Tillman","CLE","21.5","269.0","2.3","0.0","-0.5","0.0","0.0","40.4"
"Keon Coleman","BUF","19.4","266.0","2.3","0.0","0.0","0.0","0.2","39.7"
"Elijah Sarratt","BAL","19.5","294.4","1.8","0.0","0.0","0.0","0.2","39.7"
"Jahdae Walker","CHI","17.1","225.8","2.7","0.5","3.5","0.0","0.0","38.9"
"DeMario Douglas","NE","22.7","271.0","1.5","4.1","21.4","0.2","0.3","38.6"
"Jaylin Lane","WAS","22.8","280.9","1.8","0.0","0.0","0.0","0.2","38.4"
"Chris Brazzell II","CAR","22.5","287.9","1.7","0.0","0.0","0.0","0.2","38.3"
"Demarcus Robinson","SF","17.7","252.3","1.7","0.5","2.5","0.0","0.0","35.4"
"Tutu Atwell","MIA","20.4","291.7","0.5","2.2","11.3","0.1","0.2","33.0"
"Luke McCaffrey","WAS","12.0","189.0","2.0","0.0","0.0","0.0","0.0","30.9"
"Kevin Coleman Jr.","MIA","21.1","270.5","0.7","0.0","0.0","0.0","0.2","30.6"
"Treylon Burks","WAS","15.8","215.5","1.3","0.0","0.0","0.0","0.1","29.0"
"Jalen Royals","KC","17.1","198.7","1.6","0.0","0.0","0.0","0.2","28.9"
"Kendrick Bourne","ARI","22.7","239.7","0.7","0.0","0.0","0.0","0.2","27.5"
"Skyler Bell","BUF","15.1","205.5","1.2","0.0","0.0","0.0","0.2","27.5"
"Kalif Raymond","CHI","19.2","186.9","0.9","4.6","27.2","0.2","0.2","27.3"
"Jordan Whittington","LAR","15.0","171.9","1.2","2.3","12.1","0.1","0.2","26.1"
"Bryce Lance","NO","16.4","204.3","0.9","0.0","0.0","0.0","0.2","25.7"
"Devontez Walker","BAL","11.6","166.4","1.2","0.0","0.0","0.0","0.1","23.4"
"Odell Beckham Jr.","NYG","14.3","175.9","1.0","0.5","2.7","0.0","0.1","23.4"
"Zavion Thomas","CHI","12.5","153.5","1.2","0.0","0.0","0.0","0.1","22.4"
"Malachi Fields","NYG","13.2","157.6","0.9","0.0","0.0","0.0","0.1","20.9"
"Dont'e Thornton Jr.","LV","12.1","167.7","0.6","0.0","0.0","0.0","0.1","20.2"
"Konata Mumpfield","LAR","9.9","126.6","1.2","0.0","0.0","0.0","0.1","19.4"
"Brenen Thompson","LAC","9.5","120.9","0.7","2.1","11.3","0.1","0.1","17.8"
"Mack Hollins","NE","10.8","126.7","0.8","0.0","0.0","0.0","0.1","17.2"
"KeAndre Lambert-Smith","LAC","9.6","120.8","0.9","0.0","0.0","0.0","0.1","17.0"
"Kyle Williams","NE","6.4","91.5","0.6","4.1","22.3","0.2","0.1","15.6"
"Tez Johnson","TB","6.7","77.5","0.6","4.4","23.2","0.2","0.1","14.7"
"Isaiah Bond","CLE","5.6","73.7","0.4","4.3","23.5","0.1","0.1","12.9"
"Mitch Tinsley","CIN","6.6","84.0","0.8","0.0","0.0","0.0","0.1","12.9"
"Xavier Smith","LAR","7.2","89.3","0.7","0.0","0.0","0.0","0.1","12.7"
"Cyrus Allen","KC","6.4","79.7","0.5","0.0","0.0","0.0","0.1","10.8"
"Greg Dortch","DET","4.1","39.8","0.3","4.6","24.0","0.4","0.1","10.0"
"Malik Benson","LV","6.4","79.4","0.3","0.0","0.0","0.0","0.1","9.4"
"Anthony Gould","IND","7.0","74.3","0.3","0.0","0.0","0.0","0.1","9.3"
"Bo Melton","GB","2.9","37.6","0.3","4.5","26.0","0.1","0.1","8.6"
"Mason Tipton","NO","3.3","37.5","0.2","4.3","23.6","0.2","0.1","7.8"
"Tyrell Shavers","BUF","4.0","52.2","0.3","0.0","0.0","0.0","0.0","6.9"
"Derius Davis","LAC","3.5","37.8","0.3","2.1","11.0","0.1","0.1","6.7"
"Ben Skowronek","PIT","5.4","51.0","0.2","0.0","0.0","0.0","0.0","6.3"
"David Moore","CAR","3.1","36.7","0.2","2.1","11.4","0.1","0.1","6.3"
"Isaiah Williams","NYJ","3.8","35.8","0.1","2.2","12.7","0.1","0.1","6.2"
"Colbie Young","CIN","3.5","43.2","0.3","0.0","0.0","0.0","0.0","6.2"
"Malachi Corley","CLE","0.0","0.0","0.0","6.4","43.8","0.2","0.1","5.5"
"Jonathan Mingo","DAL","2.9","40.7","0.3","0.0","0.0","0.0","0.0","5.5"
"Justin Watson","HOU","3.1","41.6","0.2","0.0","0.0","0.0","0.0","5.5"
"Darius Cooper","PHI","3.3","37.7","0.3","0.0","0.0","0.0","0.0","5.2"
"Tai Felton","MIN","3.7","37.0","0.2","0.0","0.0","0.0","0.0","5.1"
"Reggie Virgil","ARI","3.4","39.3","0.1","0.0","0.0","0.0","0.0","4.7"
"Kaden Wetjen","PIT","1.6","18.8","0.1","2.1","11.6","0.1","0.0","4.0"
"Arian Smith","NYJ","0.0","0.0","0.0","4.3","23.7","0.2","0.0","3.4"
"Jimmy Horn Jr.","CAR","0.0","0.0","0.0","4.1","24.7","0.1","0.0","3.0"
"Kameron Johnson","TB","0.0","0.0","0.0","2.2","12.1","0.1","0.0","1.8"
"JuJu Smith-Schuster","NYG","1.4","12.4","0.1","0.0","0.0","0.0","0.0","1.6"
"Braxton Berrios","NYG","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Devin Duvernay","ARI","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Mason Kinsey","TEN","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Michael Bandy","DEN","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Skyy Moore","GB","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Britain Covey","PHI","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Dareke Young","LV","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Jacob Cowing","SF","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Charlie Jones","CIN","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Barion Brown","NO","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Jalen Brooks","ARI","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Brycen Tremayne","CAR","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Nikko Remigio","KC","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Jeshaun Jones","MIN","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Efton Chism III","NE","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"LaJohntay Wester","BAL","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Ke'Shawn Williams","CIN","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Myles Price","MIN","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Gage Larvadain","CLE","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Josh Cameron","JAC","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
""
""
