"Player","Team","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
"Mike Washington Jr.","LV","92.8","352.5","2.1","15.2","121.5","0.6","0.7","62.5"
"Keaton Mitchell","LAC","85.2","395.4","1.9","11.5","82.7","0.2","0.7","59.2"
"Malik Davis","DAL","79.6","373.1","2.7","6.6","52.3","0.1","0.1","59.1"
"Adam Randall","BAL","55.1","281.5","2.0","10.3","103.4","1.1","0.6","55.7"
"MarShawn Lloyd","GB","67.2","286.0","2.1","12.1","85.2","0.6","0.3","52.4"
"Chris Brooks","GB","72.7","323.2","1.3","15.4","107.6","0.3","0.6","51.5"
"Kimani Vidal","LAC","62.2","251.0","1.6","11.9","104.3","0.7","0.1","49.1"
"James Conner","ARI","42.5","155.0","1.5","18.0","131.0","1.0","0.0","43.6"
"Emanuel Wilson","SEA","69.7","289.5","1.7","7.7","52.1","0.0","0.5","43.5"
"Jaylen Wright","MIA","79.9","308.0","1.5","7.2","52.5","0.1","1.2","43.4"
"Jawhar Jordan","HOU","51.3","218.5","1.1","11.0","87.0","0.5","0.5","39.3"
"Jaydon Blue","DAL","48.7","205.0","1.5","8.8","61.9","0.4","0.2","37.7"
"Kendre Miller","NO","52.4","209.8","2.1","4.0","28.0","0.0","0.0","36.6"
"George Holani","SEA","38.9","164.2","1.5","8.0","62.2","0.3","0.2","33.1"
"Frank Gore Jr.","BUF","37.0","174.0","2.0","3.0","26.0","0.0","0.0","32.0"
"Kyle Juszczyk","SF","4.2","10.3","0.1","23.8","209.5","1.5","0.1","31.3"
"Roschon Johnson","CHI","33.0","115.0","3.0","3.0","17.0","0.0","0.0","31.2"
"Ollie Gordon II","MIA","49.4","202.8","1.2","3.9","27.8","0.1","0.2","30.7"
"Sean Tucker","TB","38.8","163.6","2.2","0.5","3.0","0.0","0.1","29.7"
"Emmett Johnson","KC","39.7","165.1","1.3","5.2","41.1","0.2","0.1","29.3"
"Ray Davis","BUF","32.3","137.8","1.1","7.8","60.0","0.4","0.2","28.1"
"Isaiah Davis","NYJ","26.4","135.0","0.9","9.9","78.2","0.2","0.0","27.7"
"DJ Giddens","IND","33.6","141.5","1.0","8.6","56.7","0.3","0.2","27.3"
"Ty Chandler","NO","54.0","144.0","1.0","12.0","57.0","0.0","0.0","26.1"
"Jonah Coleman","DEN","28.3","117.9","0.9","8.1","58.5","0.3","0.1","24.6"
"Elijah Mitchell","PHI","35.0","159.0","1.0","2.0","22.0","0.0","0.0","24.1"
"Jam Miller","NE","34.0","156.0","1.0","2.0","25.0","0.0","0.0","24.1"
"LeQuint Allen Jr.","JAC","8.0","33.9","0.2","21.7","148.0","0.8","0.1","24.1"
"Phil Mafah","DAL","32.0","142.0","1.0","4.0","34.0","0.0","0.0","23.6"
"Devin Singletary","NYG","35.6","142.6","1.0","4.2","26.3","0.1","0.1","23.0"
"Salvon Ahmed","CHI","35.0","152.0","1.0","1.0","12.0","0.0","0.0","22.4"
"Jarquez Hunter","LAR","32.0","148.0","1.0","1.0","14.0","0.0","0.0","22.2"
"Dameon Pierce","PHI","35.0","161.0","1.0","0.0","0.0","0.0","0.0","22.1"
"Israel Abanikanda","DAL","32.0","147.0","1.0","1.0","14.0","0.0","0.0","22.1"
"Brashard Smith","KC","25.0","89.0","0.5","10.5","71.0","0.5","0.0","22.0"
"Trevor Etienne","CAR","24.8","105.6","0.6","8.2","59.2","0.3","0.1","21.5"
"Donovan Edwards","MIA","31.0","130.0","1.0","2.0","19.0","0.0","0.0","20.9"
"Carlos Washington Jr.","MIA","31.0","130.0","1.0","2.0","19.0","0.0","0.0","20.9"
"Audric Estime","NO","30.0","122.0","1.0","3.0","24.0","0.0","0.0","20.6"
"Demond Claiborne","MIN","27.7","121.5","0.9","3.3","25.2","0.1","0.1","20.4"
"Jeremy McNichols","WAS","17.0","88.0","1.0","7.0","54.0","0.0","0.0","20.2"
"Seth McGowan","IND","22.3","97.1","1.2","3.2","26.9","0.1","0.0","20.0"
"Kaytron Allen","WAS","23.6","110.8","0.7","3.1","25.5","0.1","0.0","18.4"
"Tahj Brooks","CIN","30.5","129.3","0.9","0.0","0.0","0.0","0.1","18.3"
"Devin Neal","NO","22.5","89.5","1.0","2.5","17.5","0.0","0.0","16.7"
"Hunter Luepke","DAL","13.3","56.1","0.4","8.6","61.7","0.4","0.1","16.4"
"Will Shipley","PHI","9.3","39.6","0.3","11.3","83.4","0.4","0.1","16.2"
"Nicholas Singleton","TEN","20.3","83.4","0.6","4.3","29.9","0.2","0.1","15.4"
"Jerome Ford","WAS","17.5","97.0","0.5","4.0","23.5","0.0","0.0","15.1"
"Isaac Guerendo","SF","16.5","80.0","0.5","2.0","18.5","0.0","0.0","12.9"
"Michael Burton","CLE","6.6","13.8","0.6","5.1","33.2","0.6","0.0","11.4"
"Tyler Badie","DEN","4.1","17.6","0.1","8.0","65.5","0.4","0.1","11.1"
"Andrew Beck","NYJ","0.5","4.0","0.0","4.6","31.6","1.1","0.0","10.2"
"Alec Ingold","LAC","2.1","8.6","0.1","7.9","58.2","0.2","0.1","8.4"
"Adam Prentice","DEN","4.1","17.4","0.1","4.1","29.8","0.2","0.0","6.3"
"Connor Heyward","LV","4.2","17.6","0.1","4.0","28.9","0.2","0.0","6.3"
"Max Bredeson","MIN","2.0","8.5","0.1","4.5","29.4","0.2","0.0","5.1"
"Kaleb Johnson","PIT","8.6","35.8","0.2","0.0","0.0","0.0","0.0","4.8"
"Reggie Gilliam","NE","0.0","0.0","0.0","4.1","29.8","0.2","0.0","3.8"
"Riley Nowakowski","PIT","0.0","0.0","0.0","4.3","29.0","0.2","0.0","3.8"
"Patrick Ricard","NYG","0.0","0.0","0.0","4.0","26.9","0.1","0.0","3.5"
"British Brooks","HOU","4.2","18.0","0.1","0.0","0.0","0.0","0.0","2.4"
"DeeJay Dallas","JAC","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Kene Nwangwu","NYJ","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Bam Knight","ARI","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Trey Benson","ARI","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Jacob Saylors","DET","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Zavier Scott","MIN","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Rasheen Ali","BAL","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Dylan Laube","LV","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Chris Collier","LV","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Josh Williams","TB","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
""
""
